link_id,length,from_node_id,to_node_id
726,828.17,629,630
726,828.17,629,630
729,18.64,635,636
730,1204.6,636,637
730,1204.6,636,637
731,1323.12,637,638
731,1323.12,637,638
732,259.29,638,639
733,1493.78,639,640
733,1493.78,639,640
734,24.31,640,641
735,78.01,641,642
736,648.38,642,643
737,9.23,643,644
738,603.61,644,645
738,603.61,644,645
739,303.63,645,646
740,267.21,646,647
741,11.09,647,648
742,113.17,648,649
742,113.17,648,649
743,55.52,649,444
759,446.23,661,662
760,61.71,662,663
761,17.07,663,664
762,141.18,665,666
765,279.45,670,671
766,26.06,671,672
779,667.7,686,687
781,280.24,689,690
782,173.34,691,692
783,105.28,692,686
784,79.25,690,693
785,25.18,693,694
813,558.56,714,689
840,226.35,732,733
840,226.35,732,733
840,226.35,732,733
842,435.8,734,735
842,435.8,734,735
843,146.47,736,737
843,146.47,736,737
844,19.81,737,738
844,19.81,737,738
845,216.73,738,739
845,216.73,738,739
846,196.38,740,741
851,555.48,745,746
852,43.5,746,747
853,273.29,748,749
853,273.29,748,749
853,273.29,748,749
854,327.25,446,750
854,327.25,446,750
854,327.25,446,750
855,76.71,749,751
855,76.71,749,751
855,76.71,749,751
856,146.22,751,607
856,146.22,751,607
856,146.22,751,607
857,78.1,463,752
857,78.1,463,752
857,78.1,463,752
858,85.41,752,753
858,85.41,752,753
858,85.41,752,753
859,39.47,753,754
859,39.47,753,754
859,39.47,753,754
860,410.38,754,755
860,410.38,754,755
860,410.38,754,755
861,73.96,755,756
862,105.56,756,757
863,974.03,757,758
863,974.03,757,758
863,974.03,757,758
864,364.77,758,759
864,364.77,758,759
864,364.77,758,759
865,229.0,760,761
865,229.0,760,761
865,229.0,760,761
866,268.79,760,762
866,268.79,760,762
866,268.79,760,762
867,1220.88,762,763
867,1220.88,762,763
867,1220.88,762,763
867,1220.88,762,763
868,161.73,763,764
868,161.73,763,764
868,161.73,763,764
869,100.28,764,765
869,100.28,764,765
869,100.28,764,765
870,185.67,765,766
870,185.67,765,766
870,185.67,765,766
871,69.52,766,767
871,69.52,766,767
871,69.52,766,767
872,34.72,767,768
872,34.72,767,768
872,34.72,767,768
873,79.13,768,457
873,79.13,768,457
873,79.13,768,457
874,74.7,733,760
874,74.7,733,760
874,74.7,733,760
875,271.33,769,770
875,271.33,769,770
875,271.33,769,770
876,42.02,759,771
876,42.02,759,771
876,42.02,759,771
877,45.94,771,772
877,45.94,771,772
877,45.94,771,772
952,37.64,813,814
953,37.64,814,813
954,458.53,814,795
955,458.53,795,814
975,153.0,828,829
975,153.0,828,829
976,479.38,198,828
976,479.38,198,828
977,246.95,830,831
977,246.95,830,831
978,336.93,831,832
978,336.93,831,832
978,336.93,831,832
979,74.65,832,833
980,174.16,833,834
981,70.92,834,835
992,344.32,154,150
992,344.32,154,150
993,175.13,849,850
993,175.13,849,850
994,35.48,850,851
994,35.48,850,851
995,664.46,851,852
995,664.46,851,852
995,664.46,851,852
996,170.58,853,854
996,170.58,853,854
997,218.74,429,855
997,218.74,429,855
998,31.84,856,857
998,31.84,856,857
999,231.55,204,858
999,231.55,204,858
1000,130.1,859,860
1000,130.1,859,860
1001,580.06,861,862
1001,580.06,861,862
1001,580.06,861,862
1002,269.57,863,864
1002,269.57,863,864
1003,269.57,864,863
1003,269.57,864,863
1004,561.96,864,865
1004,561.96,864,865
1004,561.96,864,865
1005,561.96,865,864
1005,561.96,865,864
1005,561.96,865,864
1006,14.91,865,866
1007,14.91,866,865
1008,46.64,866,867
1009,46.64,867,866
1010,316.81,867,868
1011,316.81,868,867
1012,36.24,868,869
1013,36.24,869,868
1014,277.15,869,870
1015,277.15,870,869
1016,8.08,870,871
1017,8.08,871,870
1018,2156.52,871,872
1019,2156.52,872,871
1032,322.22,879,880
1032,322.22,879,880
1033,477.61,881,470
1033,477.61,881,470
1034,478.19,880,882
1034,478.19,880,882
1041,225.15,888,889
1041,225.15,888,889
1041,225.15,888,889
1042,242.44,890,887
1042,242.44,890,887
1042,242.44,890,887
1043,280.68,889,891
1043,280.68,889,891
1043,280.68,889,891
1044,128.98,892,893
1044,128.98,892,893
1044,128.98,892,893
1045,261.21,893,287
1045,261.21,893,287
1045,261.21,893,287
1046,129.79,894,895
1046,129.79,894,895
1046,129.79,894,895
1047,395.59,896,894
1047,395.59,896,894
1047,395.59,896,894
1048,162.49,897,896
1048,162.49,897,896
1048,162.49,897,896
1048,162.49,897,896
1048,162.49,897,896
1049,176.95,898,899
1049,176.95,898,899
1050,176.95,899,898
1050,176.95,899,898
1053,575.47,903,30
1057,67.11,862,908
1057,67.11,862,908
1058,97.46,909,910
1058,97.46,909,910
