fullSpell,desc,count,countStr,countUnit,price,priceStr,priceUnit,border,bubbleDesc,icon,entityId,entityType,id,name,longitude,latitude,imageType,selected
c3611100116748,0.61万(3套),3,3套,套,6096,0.61万,元,"106.28188,29.282999;106.282621,29.282405;106.283052,29.282909;106.282397,29.283448",阳光青城,,3611100116748,resblock,3611100116748,阳光青城,106.28229946034,29.282885281205,30002,False
c3616929659848740,0.66万(3套),3,3套,套,6624,0.66万,元,"106.280214,29.27326;106.283008,29.273757;106.283605,29.27356;106.283681,29.273312;106.281121,29.272087;106.280349,29.272772",四季花都,,3616929659848740,resblock,3616929659848740,四季花都,106.281885,29.27304,30002,False
c3611100115312,0.45万(2套),2,2套,套,4533,0.45万,元,"106.281822,29.281606;106.281202,29.281228;106.280434,29.28183;106.280268,29.281653;106.279949,29.281811;106.280191,29.282012;106.281211,29.281385;106.281602,29.281775",凤凰小区,,3611100115312,resblock,3611100115312,凤凰小区,106.28140564756,29.281829669593,30002,False
c3611100843013,0.4万(2套),2,2套,套,3981,0.4万,元,"106.273804,29.283452;106.273077,29.282846;106.272466,29.283232;106.271487,29.282082;106.272735,29.281019;106.273885,29.281326;106.274918,29.282539",骑龙山庄(江津...,,3611100843013,resblock,3611100843013,骑龙山庄(江津),106.273364,29.282357,30002,False
c3620029135871257,0.53万(2套),2,2套,套,5314,0.53万,元,"106.2651,29.278613;106.264871,29.278688;106.264476,29.278743;106.26417,29.27881;106.264449,29.279562;106.265356,29.279487;106.266146,29.279306;106.266061,29.278822;106.265513,29.278578;106.265527,29.278578;106.265383,29.278585;106.265248,29.278589",几江大院,,3620029135871257,resblock,3620029135871257,几江大院,106.265276,29.279239,30002,False
c3611100115350,0.5万(1套),1,1套,套,4994,0.5万,元,"106.27945,29.281341;106.279801,29.281653;106.280982,29.280747;106.280609,29.280381",幸福园,,3611100115350,resblock,3611100115350,幸福园,106.28005165202,29.281007069113,30002,False
c3611100431347,0.62万(1套),1,1套,套,6230,0.62万,元,"106.283654,29.27059;106.284607,29.269558;106.286021,29.270338;106.285002,29.271504",鼎山丽景,,3611100431347,resblock,3611100431347,鼎山丽景,106.284926,29.270772,30002,False
c3616204841890068,1万(1套),1,1套,套,10086,1万,元,"106.27945,29.276865;106.277717,29.275636;106.277151,29.276581;106.278004,29.277605;106.278013,29.277629;106.278804,29.277447;106.278795,29.277463;106.279109,29.277132",伴山丽苑,,3616204841890068,resblock,3616204841890068,伴山丽苑,106.277842,29.277018,30002,False
c3616661714318111,0.58万(1套),1,1套,套,5808,0.58万,元,"106.282442,29.272559;106.283744,29.273245;106.284292,29.272457;106.282981,29.271819",明月天意,,3616661714318111,resblock,3616661714318111,明月天意,106.28329994486,29.272738851124,30002,False
c366965971135930,0.46万(1套),1,1套,套,4611,0.46万,元,"106.277079,29.281802;106.277874,29.282539;106.278534,29.28192;106.277869,29.281267",东方佳苑,,366965971135930,resblock,366965971135930,东方佳苑,106.277878,29.281869,30002,False
c3615369577181708,0.63万(45套),45,45套,套,6320,0.63万,元,"106.29161,29.268669;106.291997,29.267141;106.292922,29.26733;106.293371,29.26618;106.296183,29.267062;106.295239,29.269575",恒通津都海岸,,3615369577181708,resblock,3615369577181708,恒通津都海岸,106.29653337432,29.264526064185,30002,False
c3620035009227995,0.58万(35套),35,35套,套,5827,0.58万,元,"106.291726,29.274324;106.292287,29.274415;106.292768,29.273749;106.291901,29.273592",裕城长江著,,3620035009227995,resblock,3620035009227995,裕城长江著,106.29724754854,29.26323590371,30002,False
c3611100111327,0.57万(24套),24,24套,套,5696,0.57万,元,"106.285487,29.281105;106.28705,29.282216;106.288469,29.280853;106.286682,29.279806",锦绣花园,,3611100111327,resblock,3611100111327,锦绣花园,106.28693664055,29.281169095,30002,False
c3611100116331,0.63万(15套),15,15套,套,6328,0.63万,元,"106.28837,29.277423;106.29049,29.278258;106.291712,29.276462;106.290311,29.276187;106.28908,29.276423",西西里,,3611100116331,resblock,3611100116331,西西里,106.29002,29.277065,30002,False
c3611100426093,0.52万(15套),15,15套,套,5229,0.52万,元,"106.287005,29.279506;106.288631,29.280688;106.290437,29.278372;106.288352,29.277514;106.287939,29.278427",沁园春,,3611100426093,resblock,3611100426093,沁园春,106.288882,29.278868,30002,False
