name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,39563,9012662911,,,,,,,106.3830929,29.7461979,,,
,39564,6898383186,,,,,,,106.3857097,29.7446602,,,
,39565,6898382324,,,,,,,106.3851893,29.7428181,,,
,39566,6898382692,,,,,,,106.5000433,29.6721282,,,
,39567,6898382117,,,,,,,106.5007374,29.6720719,,,
,39568,6898382450,,,,,,,106.5021474,29.6717646,,,
,39569,2465434276,,,,,,,106.4517375,29.7387999,,,
,39570,6898383134,,,,,,,106.4767512,29.6797194,,,
,39571,6898382308,,,,,,,106.4759262,29.6819043,,,
,39572,6898383198,,,,,,,106.4758913,29.6819858,,,
,39573,1511667989,,,,,,,106.5000181,29.672256,,,
,39574,6898381998,,,,,,,106.4788825,29.6754256,,,
,39575,6898382002,,,,,,,106.4799249,29.676336,,,
,39576,10048917526,,,,,,,106.4820049,29.6777552,,,
,39577,9329031763,,,,,,,106.4861817,29.6778726,,,
,39578,6898381951,,,,,,,106.4790632,29.6820614,,,
,39579,6898382275,,,,,,,106.4791847,29.6798029,,,
,39580,6898381837,,,,,,,106.5037053,29.6253966,,,
,39581,6898382526,,,,,,,106.5050679,29.6259619,,,
,39582,7707030684,,,,,,,106.5014111,29.6830511,,,
,39583,6898382540,,,,,,,106.4978368,29.6816927,,,
,39584,10836206715,,,,,,,106.4974462,29.6816751,,,
,39585,9329399457,,,,,,,106.4944182,29.6780185,,,
,39586,7309215294,,,,,,,106.5082869,29.6706825,,,
,39587,7707030690,,,,,,,106.5034003,29.6726588,,,
,39588,9329454737,crossing,,,,,,106.5033095,29.6726984,,,
,39589,9546771846,,,,,,,106.5189202,29.6520512,,,
,39590,7707030442,,,,,,,106.5175118,29.6562475,,,
,39591,7707030443,,,,,,,106.5175098,29.6563447,,,
,39592,10610457220,,,,,,,106.5175498,29.6581641,,,
,39593,10610442374,,,,,,,106.5198884,29.6616533,,,
,39594,9546771883,,,,,,,106.5223061,29.6649559,,,
,39595,9546771877,,,,,,,106.5224815,29.6651242,,,
,39596,6898382271,,,,,,,106.3866259,29.7460775,,,
,39597,9012679321,,,,,,,106.3809714,29.7360334,,,
,39598,6898381959,,,,,,,106.4643467,29.6725063,,,
,39599,9326602856,,,,,,,106.462008,29.670621,,,
,39600,7704705716,,,,,,,106.4557517,29.6651347,,,
,39601,6898383100,,,,,,,106.4996355,29.6729628,,,
,39602,6898382441,,,,,,,106.4999603,29.6724547,,,
,39603,6898382405,,,,,,,106.3846994,29.7596123,,,
,39604,10270882512,,,,,,,106.3844673,29.7617308,,,
,39605,3703639283,,,,,,,106.5069626,29.668512,,,
,39606,7707030610,,,,,,,106.5070126,29.6685968,,,
,39607,6898383001,,,,,,,106.5075752,29.6694775,,,
,39608,9329454760,,,,,,,106.5076718,29.6695608,,,
,39609,9329454747,,,,,,,106.5081238,29.6699428,,,
,39610,9329454766,,,,,,,106.5091209,29.670774,,,
,39611,9329454769,,,,,,,106.5103794,29.6718231,,,
,39612,6898383002,,,,,,,106.5109342,29.6722985,,,
,39613,9329454795,,,,,,,106.5115145,29.673179,,,
,39614,10118172418,,,,,,,106.4999826,29.6660656,,,
,39615,6898383213,,,,,,,106.4966499,29.6651796,,,
,39616,6898382203,,,,,,,106.492938,29.6649924,,,
,39617,7707030797,,,,,,,106.4895638,29.6648054,,,
,39618,6898382298,,,,,,,106.4894711,29.6647988,,,
,39619,9772747763,,,,,,,106.4840845,29.6643655,,,
,39620,6898382003,,,,,,,106.4839667,29.6643557,,,
,39621,8167989771,,,,,,,106.4689455,29.6330048,,,
,39622,6898382671,,,,,,,106.4689839,29.6331021,,,
,39623,9887319298,,,,,,,106.4687916,29.6464483,,,
,39624,9887319290,,,,,,,106.4688986,29.6467808,,,
,39625,9887319306,,,,,,,106.4690035,29.6471068,,,
,39626,8791450574,,,,,,,106.470058,29.6495845,,,
,39627,6898382604,,,,,,,106.4993147,29.6721139,,,
,39628,6898383009,,,,,,,106.4979956,29.6738641,,,
,39629,6898381846,,,,,,,106.4983131,29.672568,,,
,39630,6898382728,,,,,,,106.3727435,29.74555,,,
,39631,6898382095,,,,,,,106.3814873,29.7461798,,,
,39632,6898382287,,,,,,,106.3934953,29.7470114,,,
,39633,6898454033,,,,,,,106.46737,29.6024733,,,
,39634,11708365980,,,,,,,106.4668525,29.6018408,,,
,39635,11708365986,,,,,,,106.4676379,29.5987412,,,
,39636,6898382845,,,,,,,106.4624572,29.6000442,,,
,39637,6898382916,,,,,,,106.5045297,29.6785927,,,
,39638,6898383023,,,,,,,106.5010155,29.6768454,,,
,39639,6898382964,,,,,,,106.4983067,29.6760544,,,
,39640,6898382910,,,,,,,106.4962899,29.6751749,,,
,39641,8777322975,,,,,,,106.3571519,29.7444975,,,
,39642,8867328215,,,,,,,106.3650213,29.7450859,,,
,39643,6898382079,,,,,,,106.5015749,29.6247982,,,
,39644,8167989768,,,,,,,106.4884211,29.679657,,,
,39645,6898382716,,,,,,,106.4882089,29.682441,,,
,39646,6898382570,,,,,,,106.4882001,29.6825253,,,
,39647,9348148665,,,,,,,106.486494,29.6846357,,,
,39648,5202168542,,,,,,,106.4816396,29.6889864,,,
,39649,5173041508,,,,,,,106.465214,29.6027646,,,
,39650,5173042262,,,,,,,106.4657638,29.6034159,,,
,39651,6286079114,,,,,,,106.473665,29.612071,,,
,39652,4143919139,,,,,,,106.4729965,29.614994,,,
,39653,7691603111,,,,,,,106.4729758,29.6151036,,,
,39654,6898382969,,,,,,,106.4639776,29.6073615,,,
,39655,6898382136,,,,,,,106.4631623,29.6114471,,,
,39656,9546957174,,,,,,,106.5284439,29.6628619,,,
,39657,9546957175,,,,,,,106.5283873,29.6625471,,,
,39658,7707030494,,,,,,,106.5288236,29.656695,,,
,39659,6290803955,,,,,,,106.528706,29.6566466,,,
,39660,9546957201,,,,,,,106.5281455,29.6564458,,,
,39661,6898382502,,,,,,,106.4979537,29.6725563,,,
,39662,6898382835,,,,,,,106.4977043,29.6722954,,,
,39663,9772748947,,,,,,,106.4815869,29.6647068,,,
,39664,7707030879,,,,,,,106.4834331,29.6584951,,,
,39665,7707030897,,,,,,,106.4850545,29.6543718,,,
,39666,1512539917,,,,,,,106.5080715,29.6259386,,,
,39667,6898382169,,,,,,,106.384094,29.7563749,,,
,39668,6898382064,,,,,,,106.3840145,29.7569324,,,
,39669,6898381972,,,,,,,106.4966519,29.6632021,,,
,39670,6898453708,,,,,,,106.4967548,29.6579444,,,
,39671,7309215314,,,,,,,106.4981479,29.6718955,,,
,39672,9391455008,,,,,,,106.5197384,29.6905434,,,
,39673,9391454983,,,,,,,106.5198412,29.6848432,,,
,39674,6898383041,,,,,,,106.519302,29.6790976,,,
,39675,9329500029,,,,,,,106.5194205,29.6790101,,,
,39676,9329454749,,,,,,,106.5073114,29.6695938,,,
,39677,9329454759,,,,,,,106.5078234,29.6693711,,,
,39678,6898382029,,,,,,,106.5031954,29.6726716,,,
,39679,6898382122,crossing,,,,,,106.5032914,29.6726349,,,
,39680,6898382373,,,,,,,106.5062748,29.671263,,,
,39681,6898382470,,,,,,,106.5082352,29.6706241,,,
,39682,10270882751,,,,,,,106.3775217,29.7577264,,,
,39683,9012651012,,,,,,,106.3869256,29.7435971,,,
,39684,6898382602,,,,,,,106.4930554,29.6629939,,,
,39685,6898383237,,,,,,,106.4933973,29.6679105,,,
,39686,7707030623,,,,,,,106.4933807,29.6679983,,,
,39687,7913008392,,,,,,,106.4932433,29.6700309,,,
,39688,6898382929,,,,,,,106.4931781,29.6712387,,,
,39689,6898382353,,,,,,,106.388256,29.7616662,,,
,39690,6898383010,,,,,,,106.388881,29.7613517,,,
,39691,6898382992,,,,,,,106.5008349,29.6736176,,,
,39692,7704705715,,,,,,,106.4558704,29.6649993,,,
,39693,9326602832,,,,,,,106.4621728,29.6705297,,,
,39694,6898382899,,,,,,,106.4644926,29.6723939,,,
,39695,6898383051,,,,,,,106.5009633,29.6725344,,,
,39696,7309215302,,,,,,,106.4997777,29.6731616,,,
,39697,6866168979,,,,,,,106.4448173,29.740994,,,
,39698,6898382669,,,,,,,106.4022314,29.7470859,,,
,39699,9012679320,,,,,,,106.381154,29.7359671,,,
,39700,8671635401,,,,,,,106.386836,29.7460714,,,
,39701,6898382487,,,,,,,106.3874826,29.749973,,,
,39702,6898382445,,,,,,,106.3870381,29.7484647,,,
,39703,8754252411,,,,,,,106.3850222,29.7467683,,,
,39704,6898382054,,,,,,,106.3796655,29.7026593,,,
,39705,6898382014,,,,,,,106.3793503,29.7026655,,,
,39706,7913008292,,,,,,,106.492516,29.6734504,,,
,39707,5172784529,,,,,,,106.4939454,29.6739721,,,
,39708,8867330326,,,,,,,106.365009,29.7451994,,,
,39709,10140843985,,,,,,,106.3582757,29.7447062,,,
,39710,8777322973,,,,,,,106.3460418,29.7483065,,,
,39711,6898382800,,,,,,,106.5082459,29.6729747,,,
,39712,8754252409,,,,,,,106.3900605,29.747258,,,
,39713,9012662908,,,,,,,106.3878209,29.749399,,,
,39714,6898382061,,,,,,,106.38812,29.7515596,,,
,39715,10758495721,,,,,,,106.3915995,29.7671376,,,
,39716,9628517460,,,,,,,106.3895405,29.7654061,,,
,39717,10758495727,,,,,,,106.3894901,29.7652622,,,
,39718,10758495728,,,,,,,106.3895115,29.7651225,,,
,39719,9628517477,,,,,,,106.3895786,29.7650084,,,
,39720,6898382775,,,,,,,106.387981,29.7613547,,,
,39721,8599262187,,,,,,,106.3840051,29.7570069,,,
,39722,8599262189,,,,,,,106.3831977,29.7569195,,,
,39723,8765896095,,,,,,,106.3413849,29.7039485,,,
,39724,4361682560,,,,,,,106.3412937,29.7039774,,,
,39725,6898383148,,,,,,,106.4593042,29.6054288,,,
,39726,6898454060,,,,,,,106.504766,29.6210548,,,
,39727,6898454059,,,,,,,106.5059848,29.6210543,,,
,39728,1068915156,,,,,,,106.5075868,29.6210519,,,
,39729,6898454046,,,,,,,106.5027691,29.6103724,,,
,39730,6898453864,,,,,,,106.5034519,29.6100184,,,
,39731,8896253985,,,,,,,106.497864,29.5827523,,,
,39732,6898453976,,,,,,,106.5089469,29.6586007,,,
,39733,6898402384,,,,,,,106.5088316,29.658595,,,
,39734,10118172452,,,,,,,106.4998311,29.6581101,,,
,39735,10118172451,,,,,,,106.4992328,29.6580779,,,
,39736,10118172444,,,,,,,106.4987375,29.6580512,,,
,39737,7707030800,,,,,,,106.4901058,29.6575869,,,
,39738,6898453706,,,,,,,106.4899923,29.6575791,,,
,39739,9772748951,,,,,,,106.4860469,29.6564988,,,
,39740,9772748949,,,,,,,106.4859381,29.6564178,,,
,39741,9772748926,,,,,,,106.4853681,29.6559936,,,
,39742,6898454038,,,,,,,106.5036453,29.6099494,,,
,39743,530747361,,,,,,,106.5038631,29.6110908,,,
,39744,9850230772,,,,,,,106.4558679,29.6276239,,,
,39745,6898453890,,,,,,,106.4817773,29.6042134,,,
,39746,6898453888,,,,,,,106.4802737,29.6040972,,,
,39747,6898453862,,,,,,,106.4790629,29.6036405,,,
,39748,6898453834,,,,,,,106.5041716,29.6127219,,,
,39749,6898453896,,,,,,,106.5040691,29.6128745,,,
,39750,530747385,,,,,,,106.5037538,29.6111095,,,
,39751,6898453991,,,,,,,106.5036173,29.6108903,,,
,39752,6898453998,,,,,,,106.5029269,29.6105018,,,
,39753,6898453944,,,,,,,106.5046523,29.6029893,,,
,39754,6898453859,,,,,,,106.4767602,29.6040502,,,
,39755,4748997377,,,,,,,106.4550268,29.6534086,,,
,39756,6898453712,,,,,,,106.4307333,29.6071731,,,
,39757,6898453877,,,,,,,106.4783163,29.6102953,,,
,39758,6898453798,,,,,,,106.5035446,29.6099633,,,
,39759,7685105849,,,,,,,106.5044683,29.6040316,,,
